file,slice,sequence,site_row,site_col,volume_mm3,contrast,radius_px,fill,model,acceleration,mask_type,seed,lambda,kappa,mu_lambda,z_ref,residual_factual,residual_cf,t_R,t_N,psnr_factual,psnr_cf,ssim_factual,ssim_cf,metric_crop,metric_maxval,maxval_ratio_cf_over_factual,roi_cnr_cf,roi_cnr_ref,roi_ssim_cf,lesion_energy,pair_seconds,unit_seconds,sites_skipped_zero_gain,z_recon,erased,indeterminate,silently_erased,git_commit,thresholds_sha256,run_label
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,322,157,100.0,1.0,4.188235507614343,0.5118954509306419,cg_sense_tuned,4,equispaced,0,0.0,0.7980137732247831,0.9999513962293852,6.606076085851337,0.12797773801714174,0.1278507239666823,0.9866304098344096,0.1639866793968324,30.80500491343318,30.773722047427242,0.8661698824404881,0.866132527934511,320,0.0002916659201607415,1.0548322063363897,1.799980110630152,1.9293785128111454,0.8507332936455128,3.8685515632095573e-07,2.5,1038.9,0,4.088512503249137,False,False,False,c736b64,911de8625fec,classical_R468
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,322,157,100.0,1.5,4.188235507614343,0.5118954509306419,cg_sense_tuned,4,equispaced,0,0.0,0.7980137732247843,0.9999513962293852,6.606076085851337,0.12797773801714174,0.12777468001713266,0.9866304098344086,0.16398667939683234,30.80500491343318,30.74723413930323,0.8661698824404881,0.8660568227796746,320,0.0002916659201607415,1.2047000117071638,2.6643913244091117,2.7736153308246325,0.8560767119494009,8.704241017221504e-07,2.4,1038.9,0,5.75150811153029,False,False,False,c736b64,911de8625fec,classical_R468
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,413,187,200.0,0.24,5.27684607796045,0.6449478539729439,cg_sense_tuned,4,equispaced,0,0.0,0.8470739360096428,0.9999986564055416,2.832668889407124,0.12797773801714174,0.1279654301384957,0.986898505424308,0.5369121391521955,30.80500491343318,30.80438510250542,0.8661698824404881,0.8662409557080097,320,0.0002916659201607415,1.0,0.3222507498724736,0.48880876368931914,0.8006692143272592,1.2032469245096926e-08,2.1,1038.9,0,-0.25391000988164336,False,False,False,c736b64,911de8625fec,classical_R468
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,413,187,200.0,1.0,5.27684607796045,0.6449478539729439,cg_sense_tuned,4,equispaced,0,0.0,0.8470739360096431,0.9999986564055416,2.832668889407124,0.12797773801714174,0.1279184219421484,0.9868985054243093,0.5369121391521954,30.80500491343318,30.801074827268735,0.8661698824404881,0.8664601427023997,320,0.0002916659201607415,1.0,1.6496012383722136,2.0214716366399466,0.8384612684895115,2.0889703550515495e-07,1.7,1038.9,0,1.2296157213769936,False,False,False,c736b64,911de8625fec,classical_R468
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,413,187,200.0,1.5,5.27684607796045,0.6449478539729439,cg_sense_tuned,4,equispaced,0,0.0,0.8470739360096428,0.9999986564055416,2.832668889407124,0.12797773801714174,0.12788085173619687,0.9868985054243075,0.5369121391521954,30.80500491343318,30.79778848424162,0.8661698824404881,0.8665096224768891,320,0.0002916659201607415,1.0,2.518717374014383,3.029802474107465,0.8511575793427925,4.700183298865987e-07,1.8,1038.9,0,2.2074678781391484,False,False,False,c736b64,911de8625fec,classical_R468
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,330,132,10.0,0.24,1.9440067164683283,0.2376008209016845,cg_sense_tuned,6,equispaced,0,0.0,0.5656812833978884,0.7545738300330584,3.7102334673940622,0.10658595080577156,0.10658274456479934,0.9830667794079218,0.0011701510440769343,27.838994747758207,27.837657073080095,0.8090555167109078,0.8090275966411009,320,0.0002916659201607415,1.0,0.30987012727935326,1.37502922759406,0.6432123842372112,1.3507916948504028e-09,2.1,834.7,0,-0.16324622283961865,True,False,True,c736b64,911de8625fec,classical_R468
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,330,132,10.0,1.0,1.9440067164683283,0.2376008209016845,cg_sense_tuned,6,equispaced,0,0.0,0.5656812833978881,0.7545738300330584,3.7102334673940622,0.10658595080577156,0.10657229053515622,0.9830667794079212,0.0011701510440769354,27.838994747758207,27.831805370241824,0.8090555167109078,0.8089871009418812,320,0.0002916659201607415,1.0,1.2907206259611002,2.8832936745584936,0.6418542218878638,2.345124470226394e-08,2.3,834.7,0,1.2004152825961383,True,False,True,c736b64,911de8625fec,classical_R468
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,330,132,10.0,1.5,1.9440067164683283,0.2376008209016845,cg_sense_tuned,6,equispaced,0,0.0,0.5656812833978886,0.7545738300330584,3.7102334673940622,0.10658595080577156,0.10656516358978221,0.9830667794079213,0.0011701510440769304,27.838994747758207,27.826614746911332,0.8090555167109078,0.8089676592180395,320,0.0002916659201607415,1.0099339669391976,1.9343243496830498,3.8755729159824632,0.6439507742275425,5.276530058009386e-08,2.1,834.7,0,2.0977629546797614,False,True,False,c736b64,911de8625fec,classical_R468
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,389,175,27.0,0.24,2.7069839602882912,0.3308535951463467,cg_sense_tuned,6,equispaced,0,0.0,0.6129611502033936,0.8572992130950425,2.419656237221908,0.10658595080577156,0.10657698329634402,0.9837120416369285,0.009356421352648319,27.838994747758207,27.840175405043425,0.8090555167109078,0.8090946319502779,320,0.0002916659201607415,1.0,0.7768702090260096,0.1699221263316826,0.6812938371024179,4.6671755285710105e-09,1.7,834.7,0,-1.0229531314279434,False,False,False,c736b64,911de8625fec,classical_R468
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,389,175,27.0,1.0,2.7069839602882912,0.3308535951463467,cg_sense_tuned,6,equispaced,0,0.0,0.6129611502033924,0.8572992130950425,2.419656237221908,0.10658595080577156,0.10654737651979067,0.9837120416369279,0.009356421352648319,27.838994747758207,27.839572791630687,0.8090555167109078,0.8092395734740119,320,0.0002916659201607415,1.0,2.0120372259166723,1.6133512132436678,0.7017249446071363,8.102735292658006e-08,1.8,834.7,0,0.6060176448391037,False,False,False,c736b64,911de8625fec,classical_R468
